DVRL,DataOob,text,label,index,beta_shapley,loo
0.54866654,0.6814890503883362,"Sikhs On 'The Daily Show' Have Perfect Response For People Who Assume They're Muslim ""You need to lead with love."" Carol Kuruvilla",RELIGION,112,0.0005506991088523,0.0003870408043211
0.5381125,0.6813164353370667,"Hands Are for Fighting, Not for Talking? So many popular stories about evolution strive to pinpoint a single evolutionary force responsible for a particular trait. I am expecting that we will see a new tide of stories that are just so, given that news of a new biomechanical study of human hands and fists has hit the presses. Rob Brooks, Contributor
Evolutionary biologist and author",SCIENCE,30,1.2631941493556644e-05,1.5795887452485502e-05
0.54868597,0.6765803694725037,"Remembering Babylon: New Exhibit Explores Roots of Jewish Life in Iraq The museum, based in Jerusalem, has amassed a collection of more than 100 cuneiform tablets, original documents from the Judean community, which are now on display to the public for the first time. Anav Silverman, ContributorInternational Correspondent in Jerusalem",RELIGION,634,0.0001921690788238,0.0001460994933306
0.5488525,0.6672837138175964,"What 4 Top Catholic Archbishops Expect From The Pope's Visit Social justice and climate change are some of the pontiff's hallmark issues, but these bishops are ready to be surprised. Antonia Blumberg, Carol Kuruvilla, and Jaweed Kaleem",RELIGION,540,0.0003445993003846,0.0003516377453931
0.548686,0.6935053467750549,"A Thousand Sacntuaries From Hate Second in a series of of editorials by the author in response to Donald Trump’s improbable ascendance to the Oval office Sarbpreet Singh, ContributorPlaywright, commentator and writer",RELIGION,986,-6.637458059553428e-06,-2.25235315642891e-06
0.54878014,0.6826299428939819,"How The Catholic Church In America Is Doing On The Eve Of Pope Francis's Visit There's good news, and there's bad news. Rachel Zoll, AP",RELIGION,272,0.0002190119657937,0.0002136274807247
0.5380196,0.6749356985092163,"Rover Runs Into Trouble, Turns Back  ",SCIENCE,276,-2.232315082325711e-05,-2.2000038985670045e-05
0.53799057,0.685294508934021,"Jupiter, Moon To Shine Closely Together In Night Sky Monday The table accompanying this guide gives local times of Jupiter's closest approach to the moon's upper edge on the night of ",SCIENCE,721,0.0001043517928364,9.423703405642136e-05
0.5487351,0.6752634644508362,"Daily Meditation: Finding The Sacred We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness Antonia Blumberg",RELIGION,319,0.0001427071583809,0.0001889428755434
0.5486926,0.6896708011627197,"Prince Philip Leaves Hospital On Christmas Eve Queen Elizabeth's 98-year-old husband was released from a London hospital on Tuesday. Hannah McKay, Reuters",POLITICS,109,-3.855917366215157e-06,-6.92179392669523e-06
