text,label
"Sikhs On 'The Daily Show' Have Perfect Response For People Who Assume They're Muslim ""You need to lead with love."" Carol Kuruvilla",1
"Hands Are for Fighting, Not for Talking? So many popular stories about evolution strive to pinpoint a single evolutionary force responsible for a particular trait. I am expecting that we will see a new tide of stories that are just so, given that news of a new biomechanical study of human hands and fists has hit the presses. Rob Brooks, Contributor
Evolutionary biologist and author",2
"Remembering Babylon: New Exhibit Explores Roots of Jewish Life in Iraq The museum, based in Jerusalem, has amassed a collection of more than 100 cuneiform tablets, original documents from the Judean community, which are now on display to the public for the first time. Anav Silverman, ContributorInternational Correspondent in Jerusalem",1
"What 4 Top Catholic Archbishops Expect From The Pope's Visit Social justice and climate change are some of the pontiff's hallmark issues, but these bishops are ready to be surprised. Antonia Blumberg, Carol Kuruvilla, and Jaweed Kaleem",1
"A Thousand Sacntuaries From Hate Second in a series of of editorials by the author in response to Donald Trump’s improbable ascendance to the Oval office Sarbpreet Singh, ContributorPlaywright, commentator and writer",1
"How The Catholic Church In America Is Doing On The Eve Of Pope Francis's Visit There's good news, and there's bad news. Rachel Zoll, AP",1
"Rover Runs Into Trouble, Turns Back  ",2
"Jupiter, Moon To Shine Closely Together In Night Sky Monday The table accompanying this guide gives local times of Jupiter's closest approach to the moon's upper edge on the night of ",2
"Daily Meditation: Finding The Sacred We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness Antonia Blumberg",1
"Prince Philip Leaves Hospital On Christmas Eve Queen Elizabeth's 98-year-old husband was released from a London hospital on Tuesday. Hannah McKay, Reuters",0
"Martin Scorsese Brings 'Silence' To The Big Screen: A Story of Faith And Betrayal In 17th-century Japan The wait is over. The long anticipated film adaptation of Japanese author, Endō Shūsaku’s novel Silence by director, Martin M. Antoni J. Ucerler, S.J., ContributorDirector, Ricci Institute for Chinese-Western Cultural History...",1
"Why Wild Turkeys Hate The Wild When the birds were reintroduced to New England after a long absence, they chose to live in cities instead of the forests they once called home. ",2
"The Gap Between Gun Deaths in the U.S. and Other Advanced Nations Is Getting Wider, Study Finds While the United States has failed to significantly reduce its annual rate of gun deaths, other high income countries have ",0
"Praise the Lord or Praise the Person? The next time you leave your door unlocked and no one breaks in, the next time someone buys you a gift, or the next time someone does something nice for you, I'm not telling you not to thank God (if thanking God is what you do), I'm simply suggesting that people are also worthy of praise. Myisha Cherry, ContributorPhilosopher & Essayist",1
RNC Names Official To Negotiate Debate Terms With GOP Candidates Representatives from the campaigns are meeting Sunday to discuss how to change the debate format. ,0
"The Origami Cosmic Web of Galaxies In the picture of how the Universe developed, an origami analogy is helpful in understanding the formation of the ""cosmic web"" arrangement of galaxies. Mark Neyrinck, Contributor
Cosmologist",2
"August 9: A Day Of Repentence August 9th is a good time to remember that the United States has an addiction, and an affliction, of violence. Shane Claiborne, ContributorAuthor and Activist",1
"Interfaith Clergy Join Forces To Overturn North Carolina's Anti-LGBT Legislation “We are morally outraged."" ",1
"Parents Of Daughters Lean Republican, Study Shows In the study, the researchers examined the results of a survey of 661 men and women from 1994 -- data collected by the University Macrina Cooper-White",2
"Ovulating Women Prefer Images of Penetration Over Images of Oral Sex Canadian researchers found that during ovulation the female genitalia is more responsive to images of penetration than to images of oral sex. The difference is significantly reduced during non-fertile phases of the menstrual cycle. Pere Estupinya, ContributorScience Journalist. Author of ""The brain snatcher"" and ""S=EX2;...",2
"Top Five Stories On HuffPost Science This Week, Feb. 17-22 (VIDEO) From monsters living in our bodies to real-life ""zombie"" cells, this week's science news has a peculiar sci-fi/horror twist Cara Santa Maria",2
Pope Francis Decries ISIS Beheading Of Egyptian Christians In Libya  ,1
"Pretty Much Every Living Thing Is Already Feeling The Effects Of Climate Change ""The fact is, it's not one or two species in one or two places,"" one researcher said. Nick Visser",2
"David Attenborough Says Climate Change Is A ‘Crime’ Humanity Has Inflicted On The Planet The documentarian reiterated his grief that society has destroyed large swaths of the natural world, but said humanity is “not beyond redemption.” Nick Visser",0
"Will Heaven Be Boring?  Michael Gilmour, ContributorProfessor of English and biblical literature, Providence Unive...",1
"Alien Life? Study Suggests Vast Number Of Planets Could Harbor It ""The habitable zone would be very, very small. Consequently, the chances that you would actually find any planet at the right ",2
"Chris Christie Doesn't Care About All This House Speaker Drama, Man The flailing presidential aspirant places his remaining hopes in some new schtick. Jason Linkins",0
"Toward True Religious Freedom The reason I am against the Religious Freedom Restoration Act is not because I am a lefty liberal, but because I am a proud American Christian. This legislation, though guised in the cloak of religious liberty, is the first string to be pulled out of our basic civil rights. This state is beginning the slippery slope of legalized discrimination. Justin Thornburgh, ContributorHusband, daddy, and pastor at Emerson Ave. Baptist on the east...",1
"The Future of the Car Is Electric By the 1920s, America had developed a better system of infrastructure. This meant that vehicles needed to go longer distances. The discovery of large petroleum reserves had reduced the price of gasoline. This made the gasoline car more attractive to consumers. Patrick Daniel, ContributorFellow, Harvard University",2
'Significant' New Rift Could Sever Massive Iceberg From Antarctica An island of ice the size of Delaware is perilously close to breaking away. Nick Visser,2
"#WeDoBelongHere: My Immigrant Husband And Parents Are Just As American As Me by Pri They used to say, growing up in the United States was a luxury, and life would be better off here than overseas. I Brown Girl Magazine, ContributorBrown Girl is the premier publication tailored for the young m...",0
"Happy 100th Birthday, National Parks! Sorry You're Falling Apart. The parks enter their second century with a $12 billion backlog of repairs. Kate Sheppard",0
"What NASA Is For: Straight From the Panda's Mouth Despite all the agency has done, despite all it has to offer, so long as human spaceflight is at the core of NASA's existence, it will never evolve beyond a faint echo of its prior self. Charles Seife, Contributor
Author and Professor of Journalism at NYU",2
"What Happens After You See Pope Francis? New Yorkers Reflect On His Visit. Here's a microcosm of the ""Francis effect."" Carol Kuruvilla",1
"U.S. Court Rejects Bid By Republican Voters To Throw Out Maryland Electoral Map The challengers say the move was a partisan gerrymander in violation of the U.S. Constitution because it intentionally diluted the Republican vote. Lawrence Hurley, Reuters",0
11 Tweets That Sum Up The Absurdity of The Burkini Ban The full body swimsuit worn by  some Muslim women has been outlawed in three French cities. Antonia Blumberg,1
