link,headline,category,short_description,authors,date,combined_text
https://www.huffingtonpost.com/entry/religion-is-changing-so-why-not-science_us_5baebcf7e4b014374e2eb836,"Religion Is Changing, So Why Not Science?",SCIENCE,"We are witnessing an era of unprecedented changes. Environmental, political, economic, and informational, just to name a","Menas C. Kafatos, Contributor
Author, Blogger, A Wandering Scientist; Fletcher Jones Endowed...",2013-12-21,"Religion Is Changing, So Why Not Science? We are witnessing an era of unprecedented changes. Environmental, political, economic, and informational, just to name a Menas C. Kafatos, Contributor
Author, Blogger, A Wandering Scientist; Fletcher Jones Endowed..."
https://www.huffingtonpost.com/entry/trump-iran-warning_us_5892664ce4b0af07cb6b688f,"White House Talks Tough On Iran, But Suggests Nuke Deal Is OK After All",POLITICS,Trump’s staff warns Iran that its recent missile test is a problem -- but notes that the country is still in compliance with its high-profile nuclear agreement.,S.V. Date,2017-02-01,"White House Talks Tough On Iran, But Suggests Nuke Deal Is OK After All Trump’s staff warns Iran that its recent missile test is a problem -- but notes that the country is still in compliance with its high-profile nuclear agreement. S.V. Date"
https://www.huffingtonpost.com/entry/daily-meditation-enlightened_us_57609011e4b05e4be86024c2,Daily Meditation: Enlightened,RELIGION,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",Antonia Blumberg,2016-06-15,"Daily Meditation: Enlightened We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness Antonia Blumberg"
https://www.huffingtonpost.com/entry/doing-better-at-intersectionality_us_5953fc66e4b0f078efd986e5,Doing Better At Intersectionality,RELIGION,"A world without intersectionality is a world in which we can’t see the big picture, a world in which we cannot be our authentic selves.","Judith Rosenbaum, ContributorExecutive Director of the Jewish Women's Archive",2017-06-28,"Doing Better At Intersectionality A world without intersectionality is a world in which we can’t see the big picture, a world in which we cannot be our authentic selves. Judith Rosenbaum, ContributorExecutive Director of the Jewish Women's Archive"
https://www.huffingtonpost.com/entry/republicans-voter-id-laws-study_us_588a5309e4b0737fd5cc54b9,"States Are More Likely To Pass Voter ID Laws Right After Republicans Take Power, Study Finds",POLITICS,"Larger black and Latino populations seem to spark state GOP action, too.",Sam Levine,2017-01-26,"States Are More Likely To Pass Voter ID Laws Right After Republicans Take Power, Study Finds Larger black and Latino populations seem to spark state GOP action, too. Sam Levine"
https://www.huffingtonpost.com/entry/martin-gardner_us_5baebc2ae4b014374e2e9d00,Martin Gardner -- The Best Friend Mathematics Ever Had,SCIENCE,"What do L. Ron Hubbard, H.G. Wells, G.K. Chesterton, Lord Dunsany, Alice in Wonderland, M.C. Escher, John H. Conway, Roger Penrose and Oprah Winfrey have in common? The same thing as Isaac Asimov, Vladimir Nabokov, and Salvador Dali.","Colm Mulcahy, Contributor
Professor of Mathematics, Spelman College",2013-10-20,"Martin Gardner -- The Best Friend Mathematics Ever Had What do L. Ron Hubbard, H.G. Wells, G.K. Chesterton, Lord Dunsany, Alice in Wonderland, M.C. Escher, John H. Conway, Roger Penrose and Oprah Winfrey have in common? The same thing as Isaac Asimov, Vladimir Nabokov, and Salvador Dali. Colm Mulcahy, Contributor
Professor of Mathematics, Spelman College"
https://www.huffingtonpost.comhttp://www.nytimes.com/2016/01/09/us/politics/homeland-security-looked-past-militia-movement-ex-analyst-says.html,Analyst: Homeland Security Looked Past Domestic Terrorism Threat,POLITICS,Daryl Johnson once worked in the branch of the Department of Homeland Security that studied the threats posed by antigovernment,,2016-01-09,Analyst: Homeland Security Looked Past Domestic Terrorism Threat Daryl Johnson once worked in the branch of the Department of Homeland Security that studied the threats posed by antigovernment 
https://www.huffingtonpost.com/entry/dinosaur-birds-glided-flew-modern-fossil_us_5baeb320e4b014374e2df48a,"Dinosaur 'Birds' Glided Rather Than Flew Like Modern Birds, Fossil Analysis Suggests",SCIENCE,Some of the first birdlike creatures to emerge during the age of the dinosaurs probably couldn't get their heavy wings to,,2012-11-25,"Dinosaur 'Birds' Glided Rather Than Flew Like Modern Birds, Fossil Analysis Suggests Some of the first birdlike creatures to emerge during the age of the dinosaurs probably couldn't get their heavy wings to "
https://www.huffingtonpost.com/entry/climate-change-hurricane-harvey_us_5a3175a8e4b01bdd76597e0f,"Climate Change Made Hurricane Harvey Worse, Scientists Say",SCIENCE,"Rain associated with the lethal storm was at least 15 percent stronger, thanks to our warming world.",Nick Visser,2017-12-13,"Climate Change Made Hurricane Harvey Worse, Scientists Say Rain associated with the lethal storm was at least 15 percent stronger, thanks to our warming world. Nick Visser"
https://www.huffingtonpost.com/entry/jeb-bush-top-ten_us_56c9c973e4b0928f5a6c39ce,The Top 10 Most Jeb! Moments Of The 2016 Race,POLITICS,Please clap.,Igor Bobic,2016-02-21,The Top 10 Most Jeb! Moments Of The 2016 Race Please clap. Igor Bobic
https://www.huffingtonpost.com/entry/donald-trump-summer-zervos-lawsuit_us_5a2054bae4b0392a4ebc50f6,Judge To Hear Defamation Case From Woman Accusing Trump Of Sexual Misconduct,POLITICS,Summer Zervos' attorney confirmed that oral arguments will take place over Trump's motion to dismiss the case.,Antonia Blumberg,2017-12-01,Judge To Hear Defamation Case From Woman Accusing Trump Of Sexual Misconduct Summer Zervos' attorney confirmed that oral arguments will take place over Trump's motion to dismiss the case. Antonia Blumberg
